numero,denominacion,direccion,localidad_barrio,municipio,estado_actual,CARACTERISTICAS,clasificacion,COORDENADAS,sup_estimada_predio,sup_afectada,Vol (m3)  JUN-10,Vol (m3)  JUL-10,ESTADO DE OBRA,FECHA DE INICIO,FECHA DE FINALIZACION,DISPOSICION FINAL,OBSERVACION,TIPO DE RESIDUO,Urbanos  (%),Peligrosos (%),Poda  (%),Patogénicos (%),Escombros (%),categoria,partido,location,semaforo_riesgo,id,erradicado
6,Mercado Central,Ramon Carrillo y Av. De Circunvalacion,Villa Celina,La Matanza,Predio privado /regenteado-trabajos de relleno con aridos,ACTIVO CONSOLIDADO,Consolidado,"34º42'28.38""S 58º28'07.68""O",300000,85000,8000,8000,,,,,"En el momento del control se observo camiones volcando, tareas de nivelacion de suelo y personas realizando tareas de cirujeo.",,15,0,10,0,75,BASURALES CON MAS DE 500 M3 CON RESIDUOS SOLIDOS URBANOS,La Matanza,-34.707883333333335 -58.4688,0,99,
8,Ruta 4 y Río Matanza,"Ruta 4 y Río Matanza, sobre la margen dcha del mismo",Villa Transradio,Esteban Echeverría,123.2 toneladas retiradas,CONTROL DE MARGENES,No consolidado,34º 44' 19'' S  58º 29' 49'' W,80,30,5,50,FINALIZADO,3/4/2009,7/8/2009,Relleno Sanitario,El Sitio se encuenbtra con mantenimiento por parte del Municipio,RSU,,,,,,BASURALES ERRADICADOS - CON REINSERCION,Esteban Echeverría,-34.73861111111111 -58.496944444444445,0,40,1
9,Rafael Castillo,Calle Oleedo entre Merou y Rio Cuarto,Rafael Castillo,La Matanza,4087.08 toneladas retiradas,ERREDICADO,Consolidado,34º 43' 01'' S  58º 38' 03'' W,15000,140,300,700,FINALIZADO,4/13/2009,6/29/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,El Sitio se encuenbtra con mantenimiento por parte del Municipio,RSU,,,,,,BASURALES ERRADICADOS - CON REINSERCION,La Matanza,-34.716944444444444 -58.634166666666665,0,41,1
10,Ruta Pcial. 21 A,"Antartida Argentina y Ruta Pcial 21,  margen del Aº Don Mario",Isidro Casanova,La Matanza,45.28 toneladas retiradas,CON REINCERSION,Consolidado,34º 44' 17'' S  58º 33' 51'' W,800,110,120,20,FINALIZADO,10/6/2009,10/20/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,El Sitio se encuenbtra con mantenimiento por parte del Municipio,RSU,,,,,,BASURALES ERRADICADOS - CON REINSERCION,La Matanza,-34.738055555555555 -58.564166666666665,0,42,
11,Don Juan A,Tuyu intersección Recuero,G. de la Laferrere,La Matanza,90.78 toneladas retiradas,CON REINCERSION,No consolidado con asentamiento,34º 46' 05'' S  58º 34' 34'' W,7000,50,85,90,FINALIZADO,9/29/2009,9/30/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,El Sitio se encuenbtra con mantenimiento por parte del Municipio,RSU,,,,,,BASURALES ERRADICADOS - CON REINSERCION,La Matanza,-34.768055555555556 -58.57611111111111,0,43,1
12,Calderón de La Barca I A (Foco 1),Calle Billingurth entre Cespedes y Doblas,Gonzales Catán,La Matanza,44.42 toneladas retiradas,CON ARROJO,Consolidado,34º 43' 56'' S  58º 39' 03'' W,5000,120,50,50,FINALIZADO,9/17/2009,9/22/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,Predio Privado con uso del dueño sin cercar,RSU,,,,,,BASURALES ERRADICADOS - CON REINSERCION,La Matanza,-34.73222222222222 -58.65083333333333,0,44,
13,Calderón de la Barca I B (foco 2),Calle Billingurth y Doblas,González Catán,La Matanza,115.7 toneladas retiradas,CON ARROJO,Consolidado,34º 43' 52'' S  58º 39' 06'' W,4000,100,40,40,FINALIZADO,9/18/2009,9/22/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,Predio Privado con uso del dueño sin cercar,RSU,,,,,,BASURALES ERRADICADOS - CON REINSERCION,La Matanza,-34.73111111111111 -58.651666666666664,0,45,
14,Calderón de La Barca II A (Foco 3),Calle Int. Federico P. Russo intersección Calle Lavalleja,Gonzales Catán,La Matanza,401.38 toneladas retiradas,CON ARROJO,Consolidado,34º 44' 15'' S  58º 38' 13'' W,3500,25,30,40,FINALIZADO,12/11/2008,12/19/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,Predio Privado con uso del dueño sin cercar,RSU,,,,,,BASURALES ERRADICADOS - CON REINSERCION,La Matanza,-34.7375 -58.636944444444445,0,46,1
15,Calderón de la Barca II B (foco 4),Calle Lavalleja entre Russo y Cespedes,González Catán,La Matanza,111.14 toneladas retiradas,CON ARROJO,Consolidado,34º 44' 28'' S  58º 38' 15'' W,3000,30,50,50,FINALIZADO,12/4/2008,12/18/2008,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,Predio Privado con uso del dueño sin cercar,RSU,,,,,,BASURALES ERRADICADOS - CON REINSERCION,La Matanza,-34.74111111111111 -58.6375,0,47,1
16,Calderon de la Bara II C (foco 6),Calle Int. Federico P. Russo intersección Calle Lavalleja,Gonzalez Catán,La Matanza,33.02 toneladas retiradas,ERREDICADO,Consolidado,34º 44' 53'' S  58º 38' 41'' W,3000,0,0,15,FINALIZADO,12/19/2008,12/21/2008,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,El Sitio se encuenbtra con mantenimiento por parte del Municipio,RSU,,,,,,BASURALES ERRADICADOS - CON REINSERCION,La Matanza,-34.74805555555555 -58.64472222222222,0,48,
17,Calderón de la Barca III (Foco 9),Calle Int. Federico P. Russo intersección Calle San Matías,Gonzales Catán,La Matanza,5011.4 toneladas retiradas,CON ARROJO,Consolidado con asentamiento,34º 43' 56'' S  58º 38' 38'' W,9500,120,50,60,FINALIZADO,6/18/2009,8/19/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,Predio Privado y cercado,RSU,,,,,,BASURALES ERRADICADOS - CON REINSERCION,La Matanza,-34.73222222222222 -58.64388888888889,0,49,
18,Isidro Casanova,"Calles Ushuaia, Watt, Edison y Torquinst (plano 119)",Isidro Casanova,La Matanza,102 toneladas retiradas,CON ARROJO,No consolidado,34º 43' 37'' S  58º 34' 45'' W,10000,70,20,200,FINALIZADO,11/4/2008,2/8/2008,Relleno Sanitario,El Sitio se encuenbtra con mantenimiento por parte del Municipio,RSU,,,,,,BASURALES ERRADICADOS - CON REINSERCION,La Matanza,-34.72694444444444 -58.579166666666666,0,50,
19,Puente Bosch,Cnel. Bosch y Carlos Pelegrini,Avellaneda,Avellaneda,Ubicado en el curso de agua y margen del rio,DINAMICO NO CONSOLIDADO,No consolidado,"34º 39' 27,30'' S  58º 22' 34,24'' W",2500,2500,1,20,FINALIZADO,1/7/2010,-0,Relleno Sanitario,"SANEADO, INCLUIDO EN EL PROYECTO DE CONVENIO ENTRE MUNICIPIO Y AYSA.SE ENCUENTRA CON MANTENIMIENTO",RSU,,,,,,BASURALES ERRADICADOS - CON REINSERCION,Avellaneda,-34.657583333333335 -58.37617777777778,0,51,
20,Bacara,Jean Jaures y Luzuriaga,Lanus,Lanus,Los residuos se encuentra dispersos sobre la via publica,INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 578/09,No consolidado,"34º39'48,74""S 58º25'13,06""O",5000,2500,0,15,MANTENIMIENTO,4/12/2010,6/9/2010,Relleno Sanitario,SANEADO POR EL MUNICIPIO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,RSU,,,,,,BASURALES ERRADICADOS - CON REINSERCION,Lanús,-34.66353888888889 -58.420294444444444,0,52,
1,Barrio San Pedro,Av. Monteverde al 2700 entre M.Diomede y J.M.Prieto,Burzaco,Almirante Brown,Sin residuos de vuelco contenido con ecopunto,ESTATICO   INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 582/09,No consolidado,"34º 49' 36,56'' S  58º 25' 08,07'' W",10000,0,15,10,,,,,SANEADO POR EL MUNICIPIO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,0,0,0,0,0,BASURALES SANEADOS CON MANTENIMIENTO,Almirante Brown,-34.82682222222222 -58.418908333333334,0,53,1
2,Barrio San José C,Intersección calle la Torcasa y calle Mitre,San Jose,Almirante Brown,"Ubicado entre la poblacion con alta incidencia a la misma, sobre via publica",DINAMICO   INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 582/09,No consolidado,"34º46´06,05 S 58º20¨29,57"" O",300,300,40,5,,,,,SANEADO POR EL MUNICIPIO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,80,0,10,0,10,BASURALES SANEADOS CON MANTENIMIENTO,Almirante Brown,-34.768347222222225 -58.341547222222225,0,54,
3,Barrio San Jose B,El Picaflor y Bouchard,Barrio San Jose,Almirante Brown,En proceso de limpieza por parte del municipio,ESTATICO   INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 582/09,Consolidado con asentamiento,"35º 46' 24,18'' S  58º 20' 20,25'' W",500,500,20,30,,,,,"SANEADO POR EL MUNICIPIO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-Tn retiradas 430,5",,20,0,0,0,80,BASURALES SANEADOS CON MANTENIMIENTO,Almirante Brown,-35.773383333333335 -58.33895833333333,0,55,
