nombre,id,tipo,inicio,location,center,partido
Agustin Ramirez,abr-13,Asentamiento,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.34618086755611,-34.7702729361912,0 -58.34367374499499,-34.7731036133265,0 -58.340241032659,-34.7711550296738,0 -58.34146908883789,-34.7695588353868,0 -58.3395639655331,-34.7685458396039,0 -58.3412716220719,-34.7663061976119,0 -58.3458640241777,-34.7686075443418,0 -58.3450568741591,-34.7695835958661,0 -58.34618086755611,-34.7702729361912,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.769673284758 -58.3428774112196,
Tierra de Jerusalen / La Victoria,abr-14,Asentamiento,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3320150158595,-34.7662084547009,0 -58.3289932532751,-34.7692252079035,0 -58.3267677901722,-34.7678422680204,0 -58.3291597013345,-34.7646632470958,0 -58.3320150158595,-34.7662084547009,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7669378999182 -58.3292886321517,
El Ombu (San Cayetano),abr-15,Asentamiento,1988,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3435240277613,-34.7761764519109,0 -58.3424612138951,-34.7773898324575,0 -58.3406691095493,-34.7763166242887,0 -58.3417309111174,-34.775154403915,0 -58.3435240277613,-34.7761764519109,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7762634487268 -58.3420991389254,
8 de Noviembre,abr-16,Asentamiento,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3386861045946,-34.7596895437765,0 -58.3375537145639,-34.7607257604039,0 -58.3349640951745,-34.7593925557841,0 -58.33642817372161,-34.7573651608719,0 -58.3377557131916,-34.7580881408768,0 -58.3371705907663,-34.7588745005866,0 -58.3386861045946,-34.7596895437765,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7591461661843 -58.3367730537399,
Bº Calle Bradley,abr-17,Asentamiento,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.4143871571924,-34.8093309158081,0 -58.4136172358964,-34.8103830148812,0 -58.4133394856917,-34.8102424947447,0 -58.4136576057859,-34.8097698620427,0 -58.4139043484465,-34.8094379167312,0 -58.41410359647971,-34.8091950424408,0 -58.4143871571924,-34.8093309158081,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.8097832718707 -58.4138571691509,
2 de Abril/ 14 de Noviembre,abr-18,Asentamiento,1981,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3236212739378,-34.7729977418229,0 -58.3267009900411,-34.7679219385259,0 -58.3444157477199,-34.7786983560879,0 -58.341062129555,-34.7828402959463,0 -58.3236212739378,-34.7729977418229,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7754979619758 -58.33378568008581,
La Unión,abr-19,Asentamiento,1990,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3470870965656,-34.7692572417561,0 -58.34629673423411,-34.7701327101461,0 -58.3453316914894,-34.7695690733202,0 -58.3459997855837,-34.7687053771065,0 -58.3470870965656,-34.7692572417561,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7694135207147 -58.3461886833556,
Evita,abr-20,Villa,1978,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.335614579017,-34.769944487456,0 -58.3350481188956,-34.7706749333305,0 -58.3318214653012,-34.7689887886734,0 -58.3323468472725,-34.7682232977308,0 -58.335614579017,-34.769944487456,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.769455099646 -58.3337048980753,
El Arroyo o San Cayetano,ave-01,Asentamiento,1997,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.324572830376,-34.6864903561581,0 -58.3235905950747,-34.6872383072931,0 -58.3206207265638,-34.6846384061992,0 -58.3216024146915,-34.683868234435,0 -58.324572830376,-34.6864903561581,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6855556183711 -58.32259370249051,
Viaducto,ave-02,Villa,1955,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3565043560565,-34.6754840523862,0 -58.356326530952,-34.6753460536746,0 -58.358047458847,-34.6747464164071,0 -58.3581225595446,-34.674810517491,0 -58.3572836665651,-34.6755013407097,0 -58.3569925826733,-34.6752804529499,0 -58.3565043560565,-34.6754840523862,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6751633198785 -58.3572852358525,
Viaducto,ave-02,Villa,1955,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3577879522725,-34.6744843386854,0 -58.3562589823725,-34.6750264764662,0 -58.35728609228941,-34.6741317884889,0 -58.3577879522725,-34.6744843386854,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6745475345468 -58.3571110089781,
Viaducto,ave-02,Villa,1955,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.35976670772669,-34.6738637828514,0 -58.3580562158794,-34.6744993191493,0 -58.3579847164315,-34.6744163556836,0 -58.3594681009446,-34.6736335772986,0 -58.35976670772669,-34.6738637828514,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6740421368597 -58.3589575514473,
Nueva Ana 2,ave-03,Asentamiento,1987,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3301298103738,-34.6807706236434,0 -58.3282511001882,-34.6822364692281,0 -58.3272812260948,-34.6829937468774,0 -58.3258944878377,-34.681803933684,0 -58.3267591906618,-34.681131669821,0 -58.3274910238687,-34.6817844162317,0 -58.3276184491275,-34.6816870256006,0 -58.32949179717419,-34.6802166099464,0 -58.3301298103738,-34.6807706236434,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6816539912027 -58.3279483741348,
Nueva Ana,ave-04,Asentamiento,1988,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.33544702322781,-34.6803764734437,0 -58.334091820566,-34.6814221753321,0 -58.3348385930069,-34.6820405087044,0 -58.333295178,-34.6832926727909,0 -58.33250279012639,-34.6826547016749,0 -58.3305725267469,-34.6842601076243,0 -58.3297476363955,-34.683529156047,0 -58.32874264524219,-34.6843135408189,0 -58.3274153013851,-34.683108247572,0 -58.3278379289193,-34.6828018833446,0 -58.3282507161676,-34.6824634124576,0 -58.3302610209725,-34.6808756416137,0 -58.33103037698079,-34.6815133103828,0 -58.3319425561177,-34.6807656412578,0 -58.33273453837951,-34.6814226168293,0 -58.3347907292337,-34.679835394764,0 -58.33544702322781,-34.6803764734437,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6822908957944 -58.3313402581625,
"Inflamable, Shell",ave-05,Villa,1947,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.33074847910199,-34.6581516768203,0 -58.33083869251099,-34.6580042017576,0 -58.3329696479917,-34.6563531073196,0 -58.33392560188631,-34.6555408858678,0 -58.33452624769579,-34.6550800837175,0 -58.3347680730872,-34.6548629213127,0 -58.3363477688383,-34.6535866516774,0 -58.3365968521911,-34.6534701389675,0 -58.3375677114981,-34.6555770904012,0 -58.3376152250996,-34.6578399447871,0 -58.3362897002797,-34.6579108517202,0 -58.3363729075456,-34.6602958057743,0 -58.3377257964545,-34.6602737059154,0 -58.337795837345,-34.6625007597889,0 -58.33569617747629,-34.6625508829043,0 -58.33584906425201,-34.6647517534675,0 -58.3338775597991,-34.6647248197577,0 -58.33375861580161,-34.6627362225567,0 -58.3335348759236,-34.6626167109102,0 -58.3310049706123,-34.6626632095963,0 -58.3307817067188,-34.6591579837711,0 -58.33074847910199,-34.6581516768203,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6593511167939 -58.3344418262894,
Tranquila,ave-06,Villa,1936,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3627001061062,-34.6525789327261,0 -58.361891829687,-34.6537487537716,0 -58.3612805643398,-34.6534971914803,0 -58.3611114217511,-34.6537788216043,0 -58.3609382951762,-34.6537088982091,0 -58.3607081664638,-34.6537643870734,0 -58.3604296418283,-34.6536550760528,0 -58.3570819052601,-34.6528891451987,0 -58.35663001395499,-34.6535059758987,0 -58.3564891067024,-34.6543345761082,0 -58.3564502761252,-34.6551167916411,0 -58.35627677441341,-34.6550968992168,0 -58.3556214135963,-34.6531551083555,0 -58.35563887483,-34.6529692780953,0 -58.3549879668623,-34.652659419151,0 -58.3544258220841,-34.6523351989579,0 -58.3536791825373,-34.652590679479,0 -58.3536714710381,-34.6523556552471,0 -58.35377674540351,-34.6514071818975,0 -58.3536484597677,-34.650394268056,0 -58.3532509239627,-34.6493059014704,0 -58.3538574445654,-34.6494983703924,0 -58.3580312408117,-34.6510557125232,0 -58.36052069842399,-34.6484762677708,0 -58.3608512195573,-34.6487725858955,0 -58.359625034968,-34.6500201717242,0 -58.36250600373111,-34.6512366816291,0 -58.3625975301692,-34.651512657312,0 -58.3627928307119,-34.6518239779787,0 -58.3623155454322,-34.6524363363303,0 -58.3627001061062,-34.6525789327261,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6517692863181 -58.35810612970349,
Tranquila,ave-06,Villa,1936,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.353702298064,-34.649244482778,0 -58.3531775478256,-34.649094949711,0 -58.3521749532621,-34.6472182658923,0 -58.3525442022481,-34.646976019421,0 -58.353702298064,-34.649244482778,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6481148499864 -58.3528973968754,
Corina,ave-07,Villa,1956,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3594757818681,-34.704368070147,0 -58.35194692548621,-34.710908828273,0 -58.3514587890334,-34.7104831319739,0 -58.3504159445819,-34.7095437887791,0 -58.3497478346608,-34.7101082971499,0 -58.34884164818091,-34.7093150348172,0 -58.3495170163546,-34.7087894848431,0 -58.348439442279,-34.7078872303065,0 -58.3496900068141,-34.7069487258604,0 -58.34851359188549,-34.705962133174,0 -58.3460800858924,-34.7079227112476,0 -58.3459200485311,-34.707693197714,0 -58.346809591895,-34.7058146241246,0 -58.34737830897551,-34.7049300807066,0 -58.34792663071789,-34.7037884121654,0 -58.3489794085583,-34.7023829314362,0 -58.350368954459,-34.7013076558686,0 -58.35127548089211,-34.7006117555208,0 -58.35134790993669,-34.700672823981,0 -58.3536064683206,-34.7026170281837,0 -58.3541211506688,-34.6992216720839,0 -58.3564399233228,-34.7011591715018,0 -58.35631153822481,-34.7015810388454,0 -58.3555024584591,-34.7022100247403,0 -58.3594757818681,-34.704368070147,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7052285744324 -58.3526253794622,
Azul,ave-08,Villa,1954,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.30937026791581,-34.70351359807,0 -58.3089434892104,-34.7038260090064,0 -58.3073371788773,-34.7026342446747,0 -58.3065710326853,-34.7018641294768,0 -58.3051159794602,-34.7007369563674,0 -58.3058362133468,-34.700487094135,0 -58.3083574707832,-34.7026707190155,0 -58.308597833187,-34.702477398499,0 -58.3091047475395,-34.702930483476,0 -58.3094838567351,-34.7032783129123,0 -58.3093143023217,-34.7034478074858,0 -58.30937026791581,-34.70351359807,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7022077540857 -58.3074439821292,
Lujan,ave-09,Villa,1950,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3517973566472,-34.6937744847161,0 -58.3503730140871,-34.6950837023561,0 -58.3495829229002,-34.6943343963989,0 -58.3509893533679,-34.6931422864451,0 -58.3517973566472,-34.6937744847161,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6940943592002 -58.3506806778377,
San Juan,ave-10,Asentamiento,1988,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.32180305621881,-34.714936002458,0 -58.32124819944229,-34.715388000503,0 -58.3204297797523,-34.7145700851865,0 -58.3209125304938,-34.714175678025,0 -58.32180305621881,-34.714936002458,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7147764625709 -58.32110822688139,
El Futuro,ave-11,Asentamiento,1985,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.32289466277711,-34.71233978954,0 -58.32031014752801,-34.7144499961057,0 -58.3194209303407,-34.7135637974208,0 -58.321938053019,-34.7115151038674,0 -58.32289466277711,-34.71233978954,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7129698691259 -58.3211422249924,
Unidad y Lucha,ave-12,Villa,1988,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3580923315691,-34.7034121072231,0 -58.3558026889125,-34.7021773226605,0 -58.3564791256442,-34.7016599073884,0 -58.3565902532095,-34.7012828724588,0 -58.35692200303839,-34.701562588359,0 -58.35701709343049,-34.7014959214165,0 -58.3583989379125,-34.7003821965242,0 -58.3584867803921,-34.7004398333195,0 -58.3580923315691,-34.7034121072231,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7019898207026 -58.35744825457001,
San Jorge,ave-13,Asentamiento,1985,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3344834325303,-34.6845569695544,0 -58.3336080148277,-34.6852299689759,0 -58.3325457079003,-34.6859725046158,0 -58.3320873671933,-34.685573845276,0 -58.33393966738191,-34.6840823878376,0 -58.3344834325303,-34.6845569695544,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6850301909884 -58.33329643256401,
Paraiso,ave-14,Asentamiento,1989,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.33616850815769,-34.6832235728354,0 -58.33461085431409,-34.6844595703852,0 -58.3340639583214,-34.6839834328271,0 -58.335627240151,-34.682752825871,0 -58.33616850815769,-34.6832235728354,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6836059772153 -58.33511623274001,
Jardin de America,ave-15,Asentamiento,1989,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.327277263003,-34.6878631911906,0 -58.3263118337392,-34.6870260579491,0 -58.3266799425674,-34.6867564870673,0 -58.327615409851,-34.6875807224973,0 -58.327277263003,-34.6878631911906,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6873055721278 -58.3269686328752,
16 de Marzo,ave-16,Asentamiento,1988,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3265462361174,-34.6866423044123,0 -58.3261627658514,-34.6869241475837,0 -58.3221526977976,-34.6834486637721,0 -58.32253641632221,-34.6831543550677,0 -58.3265462361174,-34.6866423044123,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6850363987968 -58.3243427672751,
La Esperanza,ave-17,Villa,1988,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3230110349681,-34.6843467704581,0 -58.322642422263,-34.6846412861792,0 -58.3216775768626,-34.683779159991,0 -58.3220756499243,-34.6835224993091,0 -58.3230110349681,-34.6843467704581,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6840746534659 -58.3223519409862,
Lealtadd y Justicia,ave-18,Villa,1987,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3101874849728,-34.6863539599504,0 -58.30836921409019,-34.6877752656654,0 -58.3068950846079,-34.686493016112,0 -58.3087133493787,-34.6850717320124,0 -58.3101874849728,-34.6863539599504,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6864234952126 -58.3085412833161,
Rancho Grande San Lorenzo,ave-19,Asentamiento,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3039928232147,-34.6875222779784,0 -58.3021276202325,-34.6889748706553,0 -58.2995972626596,-34.6867345506092,0 -58.30211375135029,-34.685913878147,0 -58.3039928232147,-34.6875222779784,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6873196713508 -58.30190397992259,
Sasetru,ave-20,Asentamiento,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3619235201013,-34.7022497745468,0 -58.359589665771,-34.7042477438182,0 -58.3584378057958,-34.7036015237345,0 -58.3588115330761,-34.7009799277928,0 -58.35955067609209,-34.7003462766146,0 -58.3619235201013,-34.7022497745468,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7023416558466 -58.35985896921271,
"Moreno, San Carlos, Solier, Echeverria",ave-21,Asentamiento,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3217962218382,-34.7101097688103,0 -58.3206051946488,-34.709078484619,0 -58.3212163828146,-34.7085920104235,0 -58.3224071707966,-34.7096133294181,0 -58.3217962218382,-34.7101097688103,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.7093494278199 -58.3215069331536,
S/N 1,ave-22,Villa,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3422730514809,-34.6602205919218,0 -58.3423020200868,-34.6612304159539,0 -58.3409871312025,-34.6612575898478,0 -58.3409527279013,-34.6602476917757,0 -58.3422730514809,-34.6602205919218,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6607387260512 -58.34162870158121,
S/N 2,ave-23,Villa,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3418109697881,-34.6624044013334,0 -58.3410184853014,-34.6624206653806,0 -58.3410019196647,-34.6618473152039,0 -58.34180991732829,-34.6618334530293,0 -58.3418109697881,-34.6624044013334,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6621255428264 -58.34140999493409,
S/N 3,ave-24,Villa,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3437909594088,-34.663693119566,0 -58.34380148788281,-34.6639861776974,0 -58.3415927402662,-34.6673900004833,0 -58.341176376223,-34.6676321929219,0 -58.3411020733223,-34.6650670498385,0 -58.3426080382937,-34.6650334604508,0 -58.3425687232718,-34.6637215688845,0 -58.3437909594088,-34.663693119566,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.665474087589 -58.3422011264152,
Modelo,ave-25,Asentamiento,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3802452595064,-34.6847462843459,0 -58.38011851475431,-34.6842811103677,0 -58.37840140279509,-34.6822928067458,0 -58.37872252706731,-34.6820530847485,0 -58.3789200677354,-34.682393034647,0 -58.3796005532286,-34.6820478977949,0 -58.38055654025631,-34.684664275003,0 -58.3802452595064,-34.6847462843459,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6831304419755 -58.3795640626854,
San Francisco de Asis,ave-26,Villa,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.4049570188677,-34.6620995212309,0 -58.4042593759004,-34.6626496932393,0 -58.4037836015729,-34.6623593757239,0 -58.4034900548381,-34.662393408751,0 -58.4030424039954,-34.6624633031122,0 -58.4036499492038,-34.6630536436292,0 -58.4034114567074,-34.6632169549448,0 -58.4025549106281,-34.6627836165044,0 -58.4024217830525,-34.6625546011616,0 -58.4041166766561,-34.6613140581953,0 -58.4049570188677,-34.6620995212309,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6622334604455 -58.40370945561139,
S/N 6,ave-29,Asentamiento,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3601917288037,-34.691313725929,0 -58.3598792612611,-34.6908363505282,0 -58.3599233079667,-34.6905395201833,0 -58.360344669285,-34.6901982019043,0 -58.3601917288037,-34.691313725929,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6907293417859 -58.3601200329555,
FFCC Ex Belgrano,ave-30,Asentamiento,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.3594770578927,-34.6962881594535,0 -58.3590903341236,-34.6990183219572,0 -58.3584378057958,-34.7036015237345,0 -58.3580923315691,-34.7034121072231,0 -58.3585423832927,-34.700241180467,0 -58.35869714633351,-34.6991659282632,0 -58.35873218816889,-34.6989188629541,0 -58.3588467436614,-34.6980912324822,0 -58.3591460184851,-34.6962389960591,0 -58.3594770578927,-34.6962881594535,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6999189958218 -58.35877777962331,
Isla Maciel,ave-33,Villa,,"<Polygon>
<outerBoundaryIs>
<LinearRing>
<coordinates>
-58.35230495330881,-34.6465093323995,0 -58.3518875281983,-34.645651051117,0 -58.3513699730282,-34.6446023536472,0 -58.3508849134192,-34.6432394144129,0 -58.3508607881201,-34.6424686649723,0 -58.351488216109,-34.6419454485193,0 -58.35183509266311,-34.6423299258358,0 -58.3519517212179,-34.6424074587742,0 -58.3528580683787,-34.6430490687755,0 -58.35172048167379,-34.6441404987095,0 -58.3535982164173,-34.6454571448246,0 -58.3529633507044,-34.646050704938,0 -58.35272870923351,-34.6462700762102,0 -58.35230495330881,-34.6465093323995,0
</coordinates>
</LinearRing>
</outerBoundaryIs>
</Polygon>",-34.6441857651784 -58.3519980325896,
